[ozu] Timestamp: 2025-10-29 16:59:01.110423, Code: BTN_EAST, State: 1
[mutsumi] Timestamp: 2025-10-29 16:59:01.887155, Code: BTN_TR, State: 1
[ozu] Timestamp: 2025-10-29 16:59:02.062480, Code: BTN_EAST, State: 1
[mutsumi] Timestamp: 2025-10-29 16:59:02.902663, Code: BTN_NORTH, State: 1
[ozu] Timestamp: 2025-10-29 16:59:03.283275, Code: BTN_EAST, State: 1
[ozu] Timestamp: 2025-10-29 16:59:03.843218, Code: BTN_WEST, State: 1
[mutsumi] Timestamp: 2025-10-29 16:59:03.931126, Code: BTN_NORTH, State: 1
[ozu] Timestamp: 2025-10-29 16:59:04.079006, Code: BTN_SOUTH, State: 1
[mutsumi] Timestamp: 2025-10-29 16:59:04.090506, Code: BTN_NORTH, State: 1
[mutsumi] Timestamp: 2025-10-29 16:59:04.327292, Code: BTN_NORTH, State: 1
[ozu] Timestamp: 2025-10-29 16:59:15.754979, Code: BTN_EAST, State: 1
[ozu] Timestamp: 2025-10-29 16:59:15.922272, Code: BTN_EAST, State: 1
[mutsumi] Timestamp: 2025-10-29 16:59:16.054382, Code: BTN_EAST, State: 1
[ozu] Timestamp: 2025-10-29 16:59:16.566670, Code: BTN_EAST, State: 1
[mutsumi] Timestamp: 2025-10-29 16:59:17.018799, Code: BTN_EAST, State: 1
[ozu] Timestamp: 2025-10-29 16:59:18.190203, Code: BTN_WEST, State: 1
[ozu] Timestamp: 2025-10-29 16:59:18.694713, Code: BTN_NORTH, State: 1
[mutsumi] Timestamp: 2025-10-29 16:59:18.722193, Code: BTN_TR, State: 1
[ozu] Timestamp: 2025-10-29 16:59:19.858625, Code: BTN_TR, State: 1
[ozu] Timestamp: 2025-10-29 16:59:21.818496, Code: BTN_TL, State: 1
[mutsumi] Timestamp: 2025-10-29 16:59:23.066220, Code: BTN_TR, State: 1
[ozu] Timestamp: 2025-10-29 16:59:24.126681, Code: ABS_Z, State: 1
[mutsumi] Timestamp: 2025-10-29 16:59:24.490829, Code: BTN_TR, State: 1
[mutsumi] Timestamp: 2025-10-29 16:59:24.654166, Code: BTN_TR, State: 1
[mutsumi] Timestamp: 2025-10-29 16:59:24.838993, Code: BTN_TR, State: 1
[ozu] Timestamp: 2025-10-29 16:59:26.454942, Code: BTN_SOUTH, State: 1
[mutsumi] Timestamp: 2025-10-29 16:59:26.494900, Code: BTN_TL, State: 1
[ozu] Timestamp: 2025-10-29 16:59:26.818565, Code: BTN_WEST, State: 1
[mutsumi] Timestamp: 2025-10-29 16:59:27.386994, Code: BTN_TR, State: 1
[ozu] Timestamp: 2025-10-29 16:59:27.390990, Code: BTN_WEST, State: 1
[ozu] Timestamp: 2025-10-29 16:59:27.726181, Code: BTN_EAST, State: 1
[ozu] Timestamp: 2025-10-29 16:59:29.114344, Code: BTN_WEST, State: 1
[mutsumi] Timestamp: 2025-10-29 16:59:29.198257, Code: BTN_TR, State: 1
[ozu] Timestamp: 2025-10-29 16:59:30.330100, Code: BTN_EAST, State: 1
[ozu] Timestamp: 2025-10-29 16:59:31.226318, Code: BTN_SOUTH, State: 1
[ozu] Timestamp: 2025-10-29 16:59:33.102095, Code: BTN_SOUTH, State: 1
[mutsumi] Timestamp: 2025-10-29 16:59:33.734963, Code: BTN_TR, State: 1
[ozu] Timestamp: 2025-10-29 16:59:34.574143, Code: BTN_NORTH, State: 1
[mutsumi] Timestamp: 2025-10-29 16:59:34.814908, Code: BTN_TR, State: 1
[ozu] Timestamp: 2025-10-29 16:59:35.146641, Code: BTN_EAST, State: 1
[mutsumi] Timestamp: 2025-10-29 16:59:35.322502, Code: BTN_TR, State: 1
[mutsumi] Timestamp: 2025-10-29 16:59:35.542265, Code: BTN_TR, State: 1
[ozu] Timestamp: 2025-10-29 16:59:36.518793, Code: BTN_EAST, State: 1
[mutsumi] Timestamp: 2025-10-29 16:59:36.830976, Code: BTN_TR, State: 1
[mutsumi] Timestamp: 2025-10-29 16:59:37.410900, Code: BTN_TR, State: 1
[ozu] Timestamp: 2025-10-29 16:59:37.470855, Code: BTN_WEST, State: 1
[ozu] Timestamp: 2025-10-29 16:59:37.722102, Code: BTN_WEST, State: 1
[ozu] Timestamp: 2025-10-29 16:59:37.946455, Code: BTN_SOUTH, State: 1
[ozu] Timestamp: 2025-10-29 16:59:38.130286, Code: BTN_EAST, State: 1
[ozu] Timestamp: 2025-10-29 16:59:38.366411, Code: BTN_SOUTH, State: 1
[mutsumi] Timestamp: 2025-10-29 16:59:38.866145, Code: BTN_TR, State: 1
[ozu] Timestamp: 2025-10-29 16:59:39.093909, Code: BTN_SOUTH, State: 1
[mutsumi] Timestamp: 2025-10-29 16:59:39.414100, Code: BTN_TR, State: 1
[mutsumi] Timestamp: 2025-10-29 16:59:40.566473, Code: BTN_TR, State: 1
[ozu] Timestamp: 2025-10-29 16:59:40.566473, Code: BTN_WEST, State: 1
[ozu] Timestamp: 2025-10-29 16:59:40.774259, Code: BTN_WEST, State: 1
[ozu] Timestamp: 2025-10-29 16:59:40.998027, Code: BTN_SOUTH, State: 1
[ozu] Timestamp: 2025-10-29 16:59:41.418610, Code: BTN_SOUTH, State: 1
[mutsumi] Timestamp: 2025-10-29 16:59:41.462563, Code: BTN_EAST, State: 1
[mutsumi] Timestamp: 2025-10-29 16:59:43.061925, Code: BTN_SOUTH, State: 1
[mutsumi] Timestamp: 2025-10-29 16:59:43.290705, Code: BTN_SOUTH, State: 1
[ozu] Timestamp: 2025-10-29 16:59:43.310213, Code: BTN_NORTH, State: 1
[ozu] Timestamp: 2025-10-29 16:59:43.518030, Code: BTN_WEST, State: 1
[mutsumi] Timestamp: 2025-10-29 16:59:43.550504, Code: BTN_SOUTH, State: 1
[ozu] Timestamp: 2025-10-29 16:59:43.685874, Code: BTN_SOUTH, State: 1
[mutsumi] Timestamp: 2025-10-29 16:59:45.109967, Code: BTN_EAST, State: 1
[ozu] Timestamp: 2025-10-29 16:59:45.185889, Code: BTN_SOUTH, State: 1
[mutsumi] Timestamp: 2025-10-29 16:59:45.310777, Code: BTN_EAST, State: 1
[mutsumi] Timestamp: 2025-10-29 16:59:45.478603, Code: BTN_EAST, State: 1
[ozu] Timestamp: 2025-10-29 16:59:45.786285, Code: BTN_WEST, State: 1
[mutsumi] Timestamp: 2025-10-29 16:59:45.946119, Code: BTN_EAST, State: 1
[ozu] Timestamp: 2025-10-29 16:59:46.318748, Code: BTN_WEST, State: 1
[mutsumi] Timestamp: 2025-10-29 16:59:46.710342, Code: BTN_TR, State: 1
[ozu] Timestamp: 2025-10-29 16:59:46.838210, Code: BTN_SOUTH, State: 1
[ozu] Timestamp: 2025-10-29 16:59:47.689885, Code: BTN_WEST, State: 1
[ozu] Timestamp: 2025-10-29 16:59:50.237865, Code: BTN_NORTH, State: 1
[ozu] Timestamp: 2025-10-29 16:59:50.462648, Code: BTN_WEST, State: 1
[mutsumi] Timestamp: 2025-10-29 16:59:51.562566, Code: BTN_TR, State: 1
[ozu] Timestamp: 2025-10-29 16:59:52.618490, Code: BTN_NORTH, State: 1
[mutsumi] Timestamp: 2025-10-29 16:59:52.774535, Code: BTN_EAST, State: 1
[mutsumi] Timestamp: 2025-10-29 16:59:54.305750, Code: BTN_NORTH, State: 1
[ozu] Timestamp: 2025-10-29 16:59:54.326750, Code: BTN_WEST, State: 1
[mutsumi] Timestamp: 2025-10-29 16:59:54.458665, Code: BTN_NORTH, State: 1
[ozu] Timestamp: 2025-10-29 16:59:54.494227, Code: BTN_WEST, State: 1
[ozu] Timestamp: 2025-10-29 16:59:54.706328, Code: BTN_SOUTH, State: 1
[mutsumi] Timestamp: 2025-10-29 16:59:54.733808, Code: BTN_NORTH, State: 1
[mutsumi] Timestamp: 2025-10-29 16:59:55.033922, Code: BTN_EAST, State: 1
[ozu] Timestamp: 2025-10-29 16:59:55.053901, Code: BTN_SOUTH, State: 1
[mutsumi] Timestamp: 2025-10-29 16:59:55.362188, Code: BTN_EAST, State: 1
[ozu] Timestamp: 2025-10-29 16:59:55.685853, Code: BTN_WEST, State: 1
[mutsumi] Timestamp: 2025-10-29 16:59:56.238297, Code: BTN_NORTH, State: 1
[mutsumi] Timestamp: 2025-10-29 16:59:57.625880, Code: BTN_NORTH, State: 1
[ozu] Timestamp: 2025-10-29 16:59:57.673830, Code: BTN_WEST, State: 1
