[jin] Timestamp: 2025-10-29 17:23:07.081160, Code: ABS_HAT0X, State: 1
[jin] Timestamp: 2025-10-29 17:23:07.177061, Code: ABS_HAT0X, State: 1
[jin] Timestamp: 2025-10-29 17:23:07.570179, Code: BTN_TR, State: 1
[jin] Timestamp: 2025-10-29 17:23:07.825438, Code: ABS_HAT0X, State: -1
[jin] Timestamp: 2025-10-29 17:23:08.279586, Code: ABS_HAT0X, State: -1
[jin] Timestamp: 2025-10-29 17:23:08.377484, Code: ABS_HAT0X, State: -1
[jin] Timestamp: 2025-10-29 17:23:08.487371, Code: ABS_HAT0X, State: -1
[koike] Timestamp: 2025-10-29 17:23:08.750691, Code: BTN_NORTH, State: 1
[jin] Timestamp: 2025-10-29 17:23:08.793647, Code: BTN_TR, State: 1
[koike] Timestamp: 2025-10-29 17:23:08.930505, Code: BTN_NORTH, State: 1
[jin] Timestamp: 2025-10-29 17:23:09.084346, Code: ABS_HAT0X, State: -1
[koike] Timestamp: 2025-10-29 17:23:09.098332, Code: BTN_NORTH, State: 1
[jin] Timestamp: 2025-10-29 17:23:09.859692, Code: ABS_HAT0X, State: 1
[jin] Timestamp: 2025-10-29 17:23:10.147305, Code: ABS_HAT0X, State: -1
[koike] Timestamp: 2025-10-29 17:23:10.178272, Code: BTN_NORTH, State: 1
[jin] Timestamp: 2025-10-29 17:23:10.287055, Code: BTN_TR, State: 1
[koike] Timestamp: 2025-10-29 17:23:10.331009, Code: BTN_NORTH, State: 1
[jin] Timestamp: 2025-10-29 17:23:11.554842, Code: ABS_HAT0X, State: -1
[jin] Timestamp: 2025-10-29 17:23:11.609786, Code: BTN_TL, State: 1
[jin] Timestamp: 2025-10-29 17:23:11.642751, Code: ABS_HAT0X, State: -1
[jin] Timestamp: 2025-10-29 17:23:11.732167, Code: ABS_HAT0X, State: -1
[jin] Timestamp: 2025-10-29 17:23:11.827069, Code: ABS_HAT0X, State: -1
[jin] Timestamp: 2025-10-29 17:23:12.008894, Code: BTN_EAST, State: 1
[jin] Timestamp: 2025-10-29 17:23:12.532209, Code: ABS_HAT0X, State: 1
[jin] Timestamp: 2025-10-29 17:23:12.819926, Code: ABS_HAT0X, State: -1
[jin] Timestamp: 2025-10-29 17:23:13.068179, Code: BTN_EAST, State: 1
[jin] Timestamp: 2025-10-29 17:23:13.212030, Code: BTN_EAST, State: 1
[jin] Timestamp: 2025-10-29 17:23:13.354412, Code: BTN_EAST, State: 1
[jin] Timestamp: 2025-10-29 17:23:13.883877, Code: ABS_HAT0X, State: 1
[jin] Timestamp: 2025-10-29 17:23:13.893867, Code: ABS_HAT0Y, State: 1
[jin] Timestamp: 2025-10-29 17:23:14.354911, Code: BTN_NORTH, State: 1
[jin] Timestamp: 2025-10-29 17:23:14.470402, Code: BTN_NORTH, State: 1
[jin] Timestamp: 2025-10-29 17:23:14.576373, Code: BTN_NORTH, State: 1
[jin] Timestamp: 2025-10-29 17:23:15.014427, Code: ABS_HAT0X, State: 1
[jin] Timestamp: 2025-10-29 17:23:15.035913, Code: ABS_HAT0Y, State: 1
[jin] Timestamp: 2025-10-29 17:23:15.162782, Code: ABS_HAT0X, State: -1
[jin] Timestamp: 2025-10-29 17:23:15.374072, Code: ABS_HAT0X, State: -1
[jin] Timestamp: 2025-10-29 17:23:15.483958, Code: ABS_HAT0X, State: -1
[jin] Timestamp: 2025-10-29 17:23:15.565887, Code: ABS_HAT0X, State: -1
[jin] Timestamp: 2025-10-29 17:23:15.679279, Code: ABS_HAT0X, State: -1
[jin] Timestamp: 2025-10-29 17:23:15.795160, Code: ABS_HAT0X, State: -1
[jin] Timestamp: 2025-10-29 17:23:15.902049, Code: ABS_HAT0X, State: -1
[jin] Timestamp: 2025-10-29 17:23:16.375097, Code: ABS_HAT0X, State: 1
[jin] Timestamp: 2025-10-29 17:23:16.488979, Code: BTN_TR, State: 1
[koike] Timestamp: 2025-10-29 17:23:16.798179, Code: BTN_EAST, State: 1
[jin] Timestamp: 2025-10-29 17:23:16.858117, Code: ABS_HAT0X, State: -1
[jin] Timestamp: 2025-10-29 17:23:16.944028, Code: ABS_HAT0Y, State: 1
[koike] Timestamp: 2025-10-29 17:23:16.981989, Code: BTN_EAST, State: 1
[jin] Timestamp: 2025-10-29 17:23:17.075401, Code: BTN_SOUTH, State: 1
[koike] Timestamp: 2025-10-29 17:23:17.150831, Code: BTN_EAST, State: 1
[koike] Timestamp: 2025-10-29 17:23:17.318165, Code: BTN_EAST, State: 1
[koike] Timestamp: 2025-10-29 17:23:17.501974, Code: BTN_EAST, State: 1
[jin] Timestamp: 2025-10-29 17:23:18.055922, Code: ABS_HAT0X, State: -1
[jin] Timestamp: 2025-10-29 17:23:18.074409, Code: ABS_HAT0Y, State: 1
[jin] Timestamp: 2025-10-29 17:23:19.256342, Code: ABS_HAT0Y, State: 1
[koike] Timestamp: 2025-10-29 17:23:19.278318, Code: BTN_NORTH, State: 1
[jin] Timestamp: 2025-10-29 17:23:19.320276, Code: ABS_HAT0X, State: 1
