[jin] Timestamp: 2025-10-29 15:15:34.602970, Code: BTN_TR, State: 1
[jin] Timestamp: 2025-10-29 15:15:34.878225, Code: ABS_HAT0X, State: -1
[kota] Timestamp: 2025-10-29 15:15:35.076017, Code: BTN_TR, State: 1
[jin] Timestamp: 2025-10-29 15:15:35.477593, Code: BTN_TR, State: 1
[jin] Timestamp: 2025-10-29 15:15:35.820965, Code: ABS_HAT0X, State: -1
[kota] Timestamp: 2025-10-29 15:15:35.887155, Code: BTN_TR, State: 1
[jin] Timestamp: 2025-10-29 15:15:36.484314, Code: BTN_TR, State: 1
[jin] Timestamp: 2025-10-29 15:15:36.761742, Code: ABS_HAT0X, State: -1
[kota] Timestamp: 2025-10-29 15:15:36.951428, Code: BTN_TR, State: 1
[jin] Timestamp: 2025-10-29 15:15:37.793631, Code: BTN_TR, State: 1
[jin] Timestamp: 2025-10-29 15:15:38.091378, Code: ABS_HAT0X, State: -1
[kota] Timestamp: 2025-10-29 15:15:38.283279, Code: BTN_TR, State: 1
[jin] Timestamp: 2025-10-29 15:15:38.490401, Code: ABS_HAT0X, State: 1
[jin] Timestamp: 2025-10-29 15:15:38.750521, Code: BTN_TR, State: 1
[jin] Timestamp: 2025-10-29 15:15:38.832070, Code: BTN_TR, State: 1
[jin] Timestamp: 2025-10-29 15:15:39.112084, Code: ABS_HAT0X, State: -1
[kota] Timestamp: 2025-10-29 15:15:39.163181, Code: BTN_TR, State: 1
[jin] Timestamp: 2025-10-29 15:15:39.664069, Code: ABS_HAT0X, State: 1
[jin] Timestamp: 2025-10-29 15:15:40.012794, Code: ABS_HAT0X, State: -1
[kota] Timestamp: 2025-10-29 15:15:40.019806, Code: BTN_TR, State: 1
[jin] Timestamp: 2025-10-29 15:15:40.287932, Code: BTN_TR, State: 1
[kota] Timestamp: 2025-10-29 15:15:40.551847, Code: BTN_SOUTH, State: 1
[jin] Timestamp: 2025-10-29 15:15:40.564829, Code: ABS_HAT0X, State: -1
[kota] Timestamp: 2025-10-29 15:15:40.747171, Code: BTN_SOUTH, State: 1
[jin] Timestamp: 2025-10-29 15:15:41.499618, Code: ABS_HAT0X, State: 1
[jin] Timestamp: 2025-10-29 15:15:41.682074, Code: ABS_HAT0X, State: 1
[kota] Timestamp: 2025-10-29 15:15:41.739351, Code: BTN_SOUTH, State: 1
[jin] Timestamp: 2025-10-29 15:15:41.766437, Code: BTN_TR, State: 1
[kota] Timestamp: 2025-10-29 15:15:41.991594, Code: BTN_SOUTH, State: 1
[kota] Timestamp: 2025-10-29 15:15:42.314975, Code: BTN_SOUTH, State: 1
[jin] Timestamp: 2025-10-29 15:15:42.330334, Code: ABS_HAT0X, State: -1
[jin] Timestamp: 2025-10-29 15:15:42.408052, Code: ABS_HAT0Y, State: 1
[kota] Timestamp: 2025-10-29 15:15:42.523568, Code: BTN_SOUTH, State: 1
[kota] Timestamp: 2025-10-29 15:15:42.735267, Code: BTN_SOUTH, State: 1
[kota] Timestamp: 2025-10-29 15:15:42.987429, Code: BTN_SOUTH, State: 1
[kota] Timestamp: 2025-10-29 15:15:43.195562, Code: BTN_SOUTH, State: 1
[jin] Timestamp: 2025-10-29 15:15:44.052311, Code: BTN_NORTH, State: 1
[jin] Timestamp: 2025-10-29 15:15:44.222298, Code: BTN_NORTH, State: 1
[jin] Timestamp: 2025-10-29 15:15:44.378400, Code: BTN_NORTH, State: 1
[jin] Timestamp: 2025-10-29 15:15:44.751880, Code: ABS_HAT0X, State: -1
[jin] Timestamp: 2025-10-29 15:15:45.181315, Code: ABS_HAT0Y, State: 1
[jin] Timestamp: 2025-10-29 15:15:45.449330, Code: BTN_EAST, State: 1
[jin] Timestamp: 2025-10-29 15:15:45.589026, Code: ABS_HAT0X, State: 1
[jin] Timestamp: 2025-10-29 15:15:45.667292, Code: BTN_EAST, State: 1
[jin] Timestamp: 2025-10-29 15:15:46.484257, Code: ABS_HAT0X, State: -1
[jin] Timestamp: 2025-10-29 15:15:46.607748, Code: BTN_NORTH, State: 1
[jin] Timestamp: 2025-10-29 15:15:46.932920, Code: ABS_HAT0X, State: -1
[jin] Timestamp: 2025-10-29 15:15:47.275240, Code: ABS_HAT0X, State: 1
[jin] Timestamp: 2025-10-29 15:15:47.469840, Code: ABS_HAT0Y, State: -1
[kota] Timestamp: 2025-10-29 15:15:47.663182, Code: BTN_WEST, State: 1
[jin] Timestamp: 2025-10-29 15:15:48.697200, Code: ABS_HAT0Y, State: 1
[jin] Timestamp: 2025-10-29 15:15:48.772595, Code: ABS_HAT0X, State: 1
[jin] Timestamp: 2025-10-29 15:15:49.322099, Code: ABS_HAT0X, State: -1
[kota] Timestamp: 2025-10-29 15:15:49.539176, Code: BTN_SOUTH, State: 1
[jin] Timestamp: 2025-10-29 15:15:49.593181, Code: ABS_HAT0Y, State: 1
[jin] Timestamp: 2025-10-29 15:15:49.717567, Code: BTN_EAST, State: 1
[jin] Timestamp: 2025-10-29 15:15:49.884047, Code: BTN_TL, State: 1
[jin] Timestamp: 2025-10-29 15:15:50.105758, Code: ABS_HAT0Y, State: 1
