Timestamp: 2025-10-28 17:53:47.944818, Type: Absolute, Code: ABS_HAT0X, State: 1
Timestamp: 2025-10-28 17:53:48.657726, Type: Absolute, Code: ABS_HAT0Y, State: 1
Timestamp: 2025-10-28 17:53:48.807250, Type: Absolute, Code: ABS_HAT0Y, State: 1
Timestamp: 2025-10-28 17:53:48.877161, Type: Absolute, Code: ABS_HAT0X, State: 1
Timestamp: 2025-10-28 17:53:48.877161, Type: Key, Code: BTN_TR, State: 1
Timestamp: 2025-10-28 17:53:48.877161, Type: Key, Code: BTN_NORTH, State: 1
Timestamp: 2025-10-28 17:53:48.954907, Type: Absolute, Code: ABS_HAT0Y, State: 1
Timestamp: 2025-10-28 17:53:48.985944, Type: Absolute, Code: ABS_HAT0X, State: 1
Timestamp: 2025-10-28 17:53:49.000946, Type: Key, Code: BTN_TR, State: 1
Timestamp: 2025-10-28 17:53:49.000946, Type: Key, Code: BTN_NORTH, State: 1
Timestamp: 2025-10-28 17:53:49.464939, Type: Absolute, Code: ABS_HAT0X, State: -1
Timestamp: 2025-10-28 17:53:49.499903, Type: Absolute, Code: ABS_HAT0Y, State: 1
Timestamp: 2025-10-28 17:53:55.098249, Type: Key, Code: BTN_EAST, State: 1
Timestamp: 2025-10-28 17:53:55.595112, Type: Absolute, Code: ABS_HAT0Y, State: 1
Timestamp: 2025-10-28 17:53:55.651137, Type: Key, Code: BTN_WEST, State: 1
Timestamp: 2025-10-28 17:53:56.341392, Type: Key, Code: BTN_TL, State: 1
Timestamp: 2025-10-28 17:53:57.001774, Type: Key, Code: BTN_TL, State: 1
Timestamp: 2025-10-28 17:53:57.915744, Type: Key, Code: BTN_WEST, State: 1
Timestamp: 2025-10-28 17:53:58.288291, Type: Key, Code: BTN_EAST, State: 1
Timestamp: 2025-10-28 17:53:58.409905, Type: Key, Code: BTN_TL, State: 1
Timestamp: 2025-10-28 17:53:58.804188, Type: Key, Code: BTN_NORTH, State: 1
Timestamp: 2025-10-28 17:53:58.980180, Type: Absolute, Code: ABS_HAT0X, State: -1
Timestamp: 2025-10-28 17:53:59.073811, Type: Key, Code: BTN_TR, State: 1
Timestamp: 2025-10-28 17:53:59.230202, Type: Key, Code: BTN_TR, State: 1
Timestamp: 2025-10-28 17:53:59.313127, Type: Key, Code: BTN_TR, State: 1
Timestamp: 2025-10-28 17:53:59.402098, Type: Key, Code: BTN_TR, State: 1
Timestamp: 2025-10-28 17:53:59.528233, Type: Absolute, Code: ABS_HAT0Y, State: 1
Timestamp: 2025-10-28 17:53:59.623724, Type: Absolute, Code: ABS_HAT0X, State: 1
Timestamp: 2025-10-28 17:53:59.904962, Type: Absolute, Code: ABS_HAT0X, State: 1
Timestamp: 2025-10-28 17:54:00.329469, Type: Key, Code: BTN_WEST, State: 1
Timestamp: 2025-10-28 17:54:00.415984, Type: Absolute, Code: ABS_HAT0X, State: -1
Timestamp: 2025-10-28 17:54:00.461920, Type: Absolute, Code: ABS_HAT0Y, State: 1
Timestamp: 2025-10-28 17:54:00.705190, Type: Key, Code: BTN_NORTH, State: 1
Timestamp: 2025-10-28 17:54:00.854301, Type: Absolute, Code: ABS_HAT0X, State: 1
Timestamp: 2025-10-28 17:54:00.956778, Type: Key, Code: BTN_SOUTH, State: 1
Timestamp: 2025-10-28 17:54:01.297994, Type: Absolute, Code: ABS_HAT0X, State: -1
Timestamp: 2025-10-28 17:54:01.317888, Type: Absolute, Code: ABS_HAT0Y, State: 1
Timestamp: 2025-10-28 17:54:01.703732, Type: Absolute, Code: ABS_HAT0Y, State: 1
Timestamp: 2025-10-28 17:54:01.786343, Type: Absolute, Code: ABS_HAT0Y, State: 1
