[kota] Timestamp: 2025-10-29 15:22:57.613899, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:22:57.619890, Code: ABS_HAT0Y, State: 1
[keita] Timestamp: 2025-10-29 15:22:57.629880, Code: ABS_HAT0X, State: -1
[keita] Timestamp: 2025-10-29 15:22:57.874445, Code: BTN_EAST, State: 1
[keita] Timestamp: 2025-10-29 15:22:58.273153, Code: BTN_EAST, State: 1
[keita] Timestamp: 2025-10-29 15:22:58.449177, Code: BTN_EAST, State: 1
[keita] Timestamp: 2025-10-29 15:22:58.588553, Code: BTN_EAST, State: 1
[kota] Timestamp: 2025-10-29 15:22:58.857693, Code: BTN_WEST, State: 1
[kota] Timestamp: 2025-10-29 15:22:59.025349, Code: BTN_WEST, State: 1
[kota] Timestamp: 2025-10-29 15:22:59.181322, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:22:59.262358, Code: ABS_HAT0Y, State: 1
[keita] Timestamp: 2025-10-29 15:22:59.284327, Code: ABS_HAT0X, State: -1
[kota] Timestamp: 2025-10-29 15:22:59.361760, Code: BTN_WEST, State: 1
[kota] Timestamp: 2025-10-29 15:22:59.601480, Code: BTN_NORTH, State: 1
[kota] Timestamp: 2025-10-29 15:22:59.669473, Code: BTN_TR, State: 1
[keita] Timestamp: 2025-10-29 15:22:59.727560, Code: ABS_HAT0X, State: -1
[kota] Timestamp: 2025-10-29 15:23:00.005553, Code: BTN_NORTH, State: 1
[kota] Timestamp: 2025-10-29 15:23:00.049330, Code: BTN_TR, State: 1
[kota] Timestamp: 2025-10-29 15:23:00.217275, Code: BTN_EAST, State: 1
[keita] Timestamp: 2025-10-29 15:23:00.471579, Code: ABS_HAT0X, State: -1
[keita] Timestamp: 2025-10-29 15:23:00.507101, Code: ABS_HAT0Y, State: 1
[kota] Timestamp: 2025-10-29 15:23:00.637263, Code: BTN_TL, State: 1
[kota] Timestamp: 2025-10-29 15:23:00.733671, Code: BTN_TR, State: 1
[kota] Timestamp: 2025-10-29 15:23:00.733671, Code: BTN_EAST, State: 1
[kota] Timestamp: 2025-10-29 15:23:00.777625, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:23:00.850548, Code: ABS_HAT0Y, State: 1
[keita] Timestamp: 2025-10-29 15:23:00.872033, Code: ABS_HAT0X, State: -1
[kota] Timestamp: 2025-10-29 15:23:01.085836, Code: BTN_NORTH, State: 1
[kota] Timestamp: 2025-10-29 15:23:01.281454, Code: BTN_NORTH, State: 1
[kota] Timestamp: 2025-10-29 15:23:01.433950, Code: BTN_TR, State: 1
[kota] Timestamp: 2025-10-29 15:23:01.433950, Code: BTN_EAST, State: 1
[kota] Timestamp: 2025-10-29 15:23:01.461467, Code: BTN_TL, State: 1
[kota] Timestamp: 2025-10-29 15:23:01.785255, Code: BTN_NORTH, State: 1
[kota] Timestamp: 2025-10-29 15:23:01.797242, Code: BTN_TR, State: 1
[kota] Timestamp: 2025-10-29 15:23:01.813225, Code: BTN_EAST, State: 1
[kota] Timestamp: 2025-10-29 15:23:02.329127, Code: BTN_WEST, State: 1
[kota] Timestamp: 2025-10-29 15:23:02.401057, Code: BTN_TR, State: 1
[keita] Timestamp: 2025-10-29 15:23:02.536545, Code: ABS_HAT0Y, State: 1
[keita] Timestamp: 2025-10-29 15:23:02.566026, Code: ABS_HAT0X, State: -1
[keita] Timestamp: 2025-10-29 15:23:02.684180, Code: BTN_EAST, State: 1
[keita] Timestamp: 2025-10-29 15:23:03.639066, Code: ABS_HAT0Y, State: 1
[keita] Timestamp: 2025-10-29 15:23:03.806465, Code: BTN_EAST, State: 1
[kota] Timestamp: 2025-10-29 15:23:03.817456, Code: BTN_WEST, State: 1
[kota] Timestamp: 2025-10-29 15:23:04.209367, Code: BTN_NORTH, State: 1
[kota] Timestamp: 2025-10-29 15:23:04.221360, Code: BTN_EAST, State: 1
[kota] Timestamp: 2025-10-29 15:23:04.417005, Code: BTN_TR, State: 1
[keita] Timestamp: 2025-10-29 15:23:09.084316, Code: BTN_SOUTH, State: 1
[keita] Timestamp: 2025-10-29 15:23:09.255930, Code: BTN_SOUTH, State: 1
[keita] Timestamp: 2025-10-29 15:23:10.630140, Code: BTN_SOUTH, State: 1
[keita] Timestamp: 2025-10-29 15:23:12.102616, Code: BTN_SOUTH, State: 1

プログラムを終了します。
PS C:\Users\user\Documents\ラズパイ> & C:/Users/user/AppData/Local/Programs/Python/Python39/python.exe C:\Users\user\Documents\ラズパイ\tatata.py
コントローラーの入力を待っています... (Ctrl+C で終了)
2台のコントローラーが見つかりました:
  keita: Microsoft X-Box 360 pad
[スレッド開始] keita: Microsoft X-Box 360 pad
  kota: Microsoft X-Box 360 pad
[スレッド開始] kota: Microsoft X-Box 360 pad

--- すべてのコントローラからの入力を監視中 ---
（Ctrl+C で終了）

[keita] Timestamp: 2025-10-29 15:25:25.356722, Code: BTN_SOUTH, State: 1
[kota] Timestamp: 2025-10-29 15:25:27.237412, Code: BTN_SOUTH, State: 1
[keita] Timestamp: 2025-10-29 15:25:33.321245, Code: BTN_SOUTH, State: 1
[keita] Timestamp: 2025-10-29 15:25:34.633460, Code: BTN_WEST, State: 1
[kota] Timestamp: 2025-10-29 15:25:34.640475, Code: BTN_WEST, State: 1
[kota] Timestamp: 2025-10-29 15:25:34.836942, Code: BTN_WEST, State: 1
[kota] Timestamp: 2025-10-29 15:25:34.949001, Code: BTN_WEST, State: 1
[kota] Timestamp: 2025-10-29 15:25:35.032503, Code: BTN_WEST, State: 1
[kota] Timestamp: 2025-10-29 15:25:35.217042, Code: BTN_WEST, State: 1
[kota] Timestamp: 2025-10-29 15:25:35.384772, Code: BTN_WEST, State: 1
[kota] Timestamp: 2025-10-29 15:25:35.564496, Code: BTN_WEST, State: 1
[kota] Timestamp: 2025-10-29 15:25:35.832580, Code: BTN_NORTH, State: 1
[kota] Timestamp: 2025-10-29 15:25:36.028543, Code: BTN_NORTH, State: 1
[kota] Timestamp: 2025-10-29 15:25:36.588775, Code: BTN_WEST, State: 1
[kota] Timestamp: 2025-10-29 15:25:36.756886, Code: BTN_WEST, State: 1
[kota] Timestamp: 2025-10-29 15:25:36.952548, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:25:37.024682, Code: BTN_TL, State: 1
[kota] Timestamp: 2025-10-29 15:25:37.105189, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:25:37.308454, Code: BTN_SOUTH, State: 1
[kota] Timestamp: 2025-10-29 15:25:37.344997, Code: BTN_NORTH, State: 1
