[keita] Timestamp: 2025-10-29 15:36:51.396172, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:36:51.547948, Code: BTN_NORTH, State: 1
[kota] Timestamp: 2025-10-29 15:36:52.132088, Code: BTN_TR, State: 1
[keita] Timestamp: 2025-10-29 15:36:52.247916, Code: BTN_EAST, State: 1
[keita] Timestamp: 2025-10-29 15:36:52.431734, Code: BTN_THUMBL, State: 1
[keita] Timestamp: 2025-10-29 15:36:52.431734, Code: BTN_EAST, State: 1
[keita] Timestamp: 2025-10-29 15:36:52.891498, Code: BTN_EAST, State: 1
[keita] Timestamp: 2025-10-29 15:36:53.048244, Code: BTN_EAST, State: 1
[keita] Timestamp: 2025-10-29 15:36:53.200043, Code: BTN_EAST, State: 1
[keita] Timestamp: 2025-10-29 15:36:53.367817, Code: BTN_EAST, State: 1
[keita] Timestamp: 2025-10-29 15:36:53.955865, Code: BTN_EAST, State: 1
[kota] Timestamp: 2025-10-29 15:36:53.995856, Code: BTN_TR, State: 1
[keita] Timestamp: 2025-10-29 15:36:54.167380, Code: BTN_EAST, State: 1
[keita] Timestamp: 2025-10-29 15:36:54.291323, Code: BTN_EAST, State: 1
[keita] Timestamp: 2025-10-29 15:36:54.447327, Code: BTN_EAST, State: 1
[keita] Timestamp: 2025-10-29 15:36:54.600116, Code: BTN_EAST, State: 1
[kota] Timestamp: 2025-10-29 15:36:57.723730, Code: BTN_TR, State: 1
[kota] Timestamp: 2025-10-29 15:36:57.843769, Code: BTN_NORTH, State: 1
[kota] Timestamp: 2025-10-29 15:36:59.063893, Code: BTN_TR, State: 1
[kota] Timestamp: 2025-10-29 15:36:59.063893, Code: BTN_NORTH, State: 1
[kota] Timestamp: 2025-10-29 15:37:00.263782, Code: BTN_TR, State: 1
[kota] Timestamp: 2025-10-29 15:37:00.263782, Code: BTN_WEST, State: 1
[kota] Timestamp: 2025-10-29 15:37:02.179818, Code: BTN_TR, State: 1
[kota] Timestamp: 2025-10-29 15:37:02.179818, Code: BTN_EAST, State: 1
[keita] Timestamp: 2025-10-29 15:37:02.639612, Code: BTN_THUMBL, State: 1
[kota] Timestamp: 2025-10-29 15:37:03.559140, Code: BTN_TR, State: 1
[kota] Timestamp: 2025-10-29 15:37:03.559140, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:37:04.263713, Code: BTN_TR, State: 1
[keita] Timestamp: 2025-10-29 15:37:04.303770, Code: BTN_THUMBL, State: 1
[kota] Timestamp: 2025-10-29 15:37:04.347759, Code: BTN_TR, State: 1
[kota] Timestamp: 2025-10-29 15:37:04.347759, Code: BTN_EAST, State: 1
[keita] Timestamp: 2025-10-29 15:37:04.583461, Code: BTN_TR, State: 1
[keita] Timestamp: 2025-10-29 15:37:04.907408, Code: BTN_NORTH, State: 1
[kota] Timestamp: 2025-10-29 15:37:04.987666, Code: BTN_TR, State: 1
[kota] Timestamp: 2025-10-29 15:37:04.987666, Code: BTN_EAST, State: 1
[kota] Timestamp: 2025-10-29 15:37:06.043729, Code: BTN_TR, State: 1
[kota] Timestamp: 2025-10-29 15:37:06.043729, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:37:06.419366, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:37:06.599866, Code: BTN_NORTH, State: 1
[kota] Timestamp: 2025-10-29 15:37:06.668031, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:37:06.767305, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:37:06.935451, Code: BTN_NORTH, State: 1
[kota] Timestamp: 2025-10-29 15:37:06.983133, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:37:07.175645, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:37:07.343626, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:37:07.483463, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:37:07.607432, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:37:07.707449, Code: BTN_NORTH, State: 1
[kota] Timestamp: 2025-10-29 15:37:12.986935, Code: BTN_SOUTH, State: 1
[keita] Timestamp: 2025-10-29 15:37:13.571654, Code: BTN_EAST, State: 1
[kota] Timestamp: 2025-10-29 15:37:13.619629, Code: BTN_SOUTH, State: 1
[kota] Timestamp: 2025-10-29 15:37:18.654859, Code: BTN_TR, State: 1
[kota] Timestamp: 2025-10-29 15:37:18.658875, Code: BTN_NORTH, State: 1
