[ozu] Timestamp: 2025-10-29 17:13:21.972722, Code: BTN_NORTH, State: 1
[ozu] Timestamp: 2025-10-29 17:13:22.557133, Code: BTN_EAST, State: 1
[mutsumi] Timestamp: 2025-10-29 17:13:23.396785, Code: BTN_WEST, State: 1
[mutsumi] Timestamp: 2025-10-29 17:13:23.620583, Code: BTN_WEST, State: 1
[ozu] Timestamp: 2025-10-29 17:13:23.704495, Code: BTN_NORTH, State: 1
[ozu] Timestamp: 2025-10-29 17:13:23.717483, Code: BTN_WEST, State: 1
[ozu] Timestamp: 2025-10-29 17:13:23.905320, Code: BTN_WEST, State: 1
[ozu] Timestamp: 2025-10-29 17:13:24.700587, Code: BTN_NORTH, State: 1
[mutsumi] Timestamp: 2025-10-29 17:13:25.429399, Code: BTN_WEST, State: 1
[ozu] Timestamp: 2025-10-29 17:13:25.576816, Code: BTN_NORTH, State: 1
[ozu] Timestamp: 2025-10-29 17:13:25.884526, Code: BTN_EAST, State: 1
[mutsumi] Timestamp: 2025-10-29 17:13:25.961447, Code: BTN_WEST, State: 1
[mutsumi] Timestamp: 2025-10-29 17:13:26.128793, Code: BTN_WEST, State: 1
[ozu] Timestamp: 2025-10-29 17:13:26.140781, Code: BTN_EAST, State: 1
[ozu] Timestamp: 2025-10-29 17:13:26.356589, Code: BTN_EAST, State: 1
[mutsumi] Timestamp: 2025-10-29 17:13:26.437505, Code: BTN_WEST, State: 1
[ozu] Timestamp: 2025-10-29 17:13:26.645304, Code: BTN_EAST, State: 1
[mutsumi] Timestamp: 2025-10-29 17:13:26.744709, Code: BTN_SOUTH, State: 1
[ozu] Timestamp: 2025-10-29 17:13:26.961483, Code: BTN_SOUTH, State: 1
[mutsumi] Timestamp: 2025-10-29 17:13:27.052896, Code: BTN_SOUTH, State: 1
[ozu] Timestamp: 2025-10-29 17:13:27.189262, Code: BTN_SOUTH, State: 1
[mutsumi] Timestamp: 2025-10-29 17:13:27.680756, Code: BTN_WEST, State: 1
[ozu] Timestamp: 2025-10-29 17:13:27.788643, Code: BTN_SOUTH, State: 1
[ozu] Timestamp: 2025-10-29 17:13:28.140802, Code: BTN_NORTH, State: 1
[ozu] Timestamp: 2025-10-29 17:13:28.340598, Code: BTN_EAST, State: 1
[mutsumi] Timestamp: 2025-10-29 17:13:28.453479, Code: BTN_WEST, State: 1
[ozu] Timestamp: 2025-10-29 17:13:28.617326, Code: BTN_SOUTH, State: 1
[mutsumi] Timestamp: 2025-10-29 17:13:29.052876, Code: BTN_WEST, State: 1
[mutsumi] Timestamp: 2025-10-29 17:13:29.641282, Code: BTN_WEST, State: 1
[ozu] Timestamp: 2025-10-29 17:13:30.088819, Code: BTN_EAST, State: 1
[ozu] Timestamp: 2025-10-29 17:13:30.444452, Code: BTN_SOUTH, State: 1
[ozu] Timestamp: 2025-10-29 17:13:30.645259, Code: BTN_SOUTH, State: 1
[ozu] Timestamp: 2025-10-29 17:13:30.813086, Code: BTN_SOUTH, State: 1
[ozu] Timestamp: 2025-10-29 17:13:32.396598, Code: BTN_EAST, State: 1
[mutsumi] Timestamp: 2025-10-29 17:13:32.400595, Code: BTN_WEST, State: 1
[ozu] Timestamp: 2025-10-29 17:13:32.588430, Code: BTN_EAST, State: 1
[ozu] Timestamp: 2025-10-29 17:13:32.845181, Code: BTN_NORTH, State: 1
[ozu] Timestamp: 2025-10-29 17:13:33.369220, Code: BTN_EAST, State: 1
[mutsumi] Timestamp: 2025-10-29 17:13:34.389298, Code: BTN_WEST, State: 1
[ozu] Timestamp: 2025-10-29 17:13:34.644540, Code: BTN_NORTH, State: 1
[ozu] Timestamp: 2025-10-29 17:13:34.841364, Code: BTN_NORTH, State: 1
[mutsumi] Timestamp: 2025-10-29 17:13:34.849357, Code: BTN_SOUTH, State: 1
[ozu] Timestamp: 2025-10-29 17:13:34.953264, Code: BTN_EAST, State: 1
[ozu] Timestamp: 2025-10-29 17:13:35.132586, Code: BTN_SOUTH, State: 1
[mutsumi] Timestamp: 2025-10-29 17:13:35.268473, Code: BTN_EAST, State: 1
[ozu] Timestamp: 2025-10-29 17:13:35.368369, Code: BTN_SOUTH, State: 1
[ozu] Timestamp: 2025-10-29 17:13:35.541206, Code: BTN_SOUTH, State: 1
[mutsumi] Timestamp: 2025-10-29 17:13:37.356431, Code: BTN_NORTH, State: 1
[ozu] Timestamp: 2025-10-29 17:13:37.529267, Code: BTN_EAST, State: 1
[ozu] Timestamp: 2025-10-29 17:13:37.849001, Code: BTN_EAST, State: 1
[mutsumi] Timestamp: 2025-10-29 17:13:39.093321, Code: BTN_NORTH, State: 1
[ozu] Timestamp: 2025-10-29 17:13:39.605310, Code: BTN_NORTH, State: 1
[ozu] Timestamp: 2025-10-29 17:13:40.232675, Code: BTN_WEST, State: 1
[mutsumi] Timestamp: 2025-10-29 17:13:40.364539, Code: BTN_NORTH, State: 1
[ozu] Timestamp: 2025-10-29 17:13:40.428474, Code: BTN_EAST, State: 1
[mutsumi] Timestamp: 2025-10-29 17:13:41.064831, Code: BTN_EAST, State: 1
[ozu] Timestamp: 2025-10-29 17:13:41.160731, Code: BTN_EAST, State: 1
[ozu] Timestamp: 2025-10-29 17:13:41.316570, Code: BTN_EAST, State: 1
[mutsumi] Timestamp: 2025-10-29 17:13:41.500380, Code: BTN_SOUTH, State: 1
[ozu] Timestamp: 2025-10-29 17:13:41.601276, Code: BTN_EAST, State: 1
[ozu] Timestamp: 2025-10-29 17:13:41.789095, Code: BTN_EAST, State: 1
[mutsumi] Timestamp: 2025-10-29 17:13:41.837045, Code: BTN_SOUTH, State: 1
[mutsumi] Timestamp: 2025-10-29 17:13:42.004872, Code: BTN_SOUTH, State: 1
[ozu] Timestamp: 2025-10-29 17:13:42.032844, Code: BTN_EAST, State: 1
[ozu] Timestamp: 2025-10-29 17:13:42.068806, Code: BTN_SOUTH, State: 1
[mutsumi] Timestamp: 2025-10-29 17:13:42.212660, Code: BTN_SOUTH, State: 1
[ozu] Timestamp: 2025-10-29 17:13:42.960407, Code: BTN_SOUTH, State: 1
[mutsumi] Timestamp: 2025-10-29 17:13:43.097266, Code: BTN_NORTH, State: 1
[ozu] Timestamp: 2025-10-29 17:13:43.512851, Code: BTN_EAST, State: 1
[mutsumi] Timestamp: 2025-10-29 17:13:43.516846, Code: BTN_NORTH, State: 1
[ozu] Timestamp: 2025-10-29 17:13:43.696661, Code: BTN_EAST, State: 1
[ozu] Timestamp: 2025-10-29 17:13:43.924425, Code: BTN_EAST, State: 1
[ozu] Timestamp: 2025-10-29 17:13:45.328509, Code: BTN_EAST, State: 1
[mutsumi] Timestamp: 2025-10-29 17:13:45.336500, Code: BTN_NORTH, State: 1
[ozu] Timestamp: 2025-10-29 17:13:45.468395, Code: BTN_EAST, State: 1
[mutsumi] Timestamp: 2025-10-29 17:13:45.516346, Code: BTN_NORTH, State: 1
[ozu] Timestamp: 2025-10-29 17:13:45.608251, Code: BTN_EAST, State: 1
[ozu] Timestamp: 2025-10-29 17:13:47.425113, Code: BTN_EAST, State: 1
[mutsumi] Timestamp: 2025-10-29 17:13:47.548493, Code: BTN_NORTH, State: 1
[ozu] Timestamp: 2025-10-29 17:13:48.568506, Code: BTN_SOUTH, State: 1
[ozu] Timestamp: 2025-10-29 17:13:48.732858, Code: BTN_SOUTH, State: 1
[ozu] Timestamp: 2025-10-29 17:13:48.917175, Code: BTN_SOUTH, State: 1
[ozu] Timestamp: 2025-10-29 17:14:01.184918, Code: BTN_EAST, State: 1
[mutsumi] Timestamp: 2025-10-29 17:14:01.256844, Code: BTN_TR, State: 1
[mutsumi] Timestamp: 2025-10-29 17:14:02.500113, Code: BTN_TR, State: 1
[ozu] Timestamp: 2025-10-29 17:14:02.768850, Code: BTN_EAST, State: 1
[mutsumi] Timestamp: 2025-10-29 17:14:04.588046, Code: BTN_TL, State: 1
[mutsumi] Timestamp: 2025-10-29 17:14:05.204554, Code: BTN_TL, State: 1
[ozu] Timestamp: 2025-10-29 17:14:05.584164, Code: BTN_EAST, State: 1
[mutsumi] Timestamp: 2025-10-29 17:14:06.156095, Code: BTN_NORTH, State: 1
[ozu] Timestamp: 2025-10-29 17:14:06.169081, Code: BTN_EAST, State: 1
[ozu] Timestamp: 2025-10-29 17:14:06.328931, Code: BTN_EAST, State: 1
[ozu] Timestamp: 2025-10-29 17:14:06.476778, Code: BTN_EAST, State: 1
[ozu] Timestamp: 2025-10-29 17:14:06.649109, Code: BTN_SOUTH, State: 1
[mutsumi] Timestamp: 2025-10-29 17:14:07.736029, Code: BTN_EAST, State: 1
[ozu] Timestamp: 2025-10-29 17:14:07.916858, Code: BTN_SOUTH, State: 1
[ozu] Timestamp: 2025-10-29 17:14:08.132143, Code: BTN_SOUTH, State: 1
[ozu] Timestamp: 2025-10-29 17:14:08.372907, Code: BTN_SOUTH, State: 1
[mutsumi] Timestamp: 2025-10-29 17:14:10.088216, Code: BTN_SOUTH, State: 1
[ozu] Timestamp: 2025-10-29 17:14:10.200101, Code: BTN_EAST, State: 1
[ozu] Timestamp: 2025-10-29 17:14:10.836963, Code: BTN_SOUTH, State: 1
[ozu] Timestamp: 2025-10-29 17:14:11.632183, Code: BTN_EAST, State: 1
[mutsumi] Timestamp: 2025-10-29 17:14:11.880925, Code: BTN_SOUTH, State: 1
[ozu] Timestamp: 2025-10-29 17:14:12.980353, Code: BTN_EAST, State: 1
[ozu] Timestamp: 2025-10-29 17:14:13.144184, Code: BTN_SOUTH, State: 1
[mutsumi] Timestamp: 2025-10-29 17:14:13.492841, Code: BTN_NORTH, State: 1
[ozu] Timestamp: 2025-10-29 17:14:13.895931, Code: BTN_EAST, State: 1
[mutsumi] Timestamp: 2025-10-29 17:14:13.924901, Code: BTN_WEST, State: 1
[ozu] Timestamp: 2025-10-29 17:14:14.100733, Code: BTN_SOUTH, State: 1
[mutsumi] Timestamp: 2025-10-29 17:14:14.164203, Code: BTN_WEST, State: 1
[ozu] Timestamp: 2025-10-29 17:14:14.268130, Code: BTN_SOUTH, State: 1
[ozu] Timestamp: 2025-10-29 17:14:14.464016, Code: BTN_SOUTH, State: 1
[ozu] Timestamp: 2025-10-29 17:14:14.692332, Code: BTN_EAST, State: 1
[mutsumi] Timestamp: 2025-10-29 17:14:14.836183, Code: BTN_SOUTH, State: 1
[ozu] Timestamp: 2025-10-29 17:14:14.948069, Code: BTN_EAST, State: 1
[ozu] Timestamp: 2025-10-29 17:14:15.168349, Code: BTN_EAST, State: 1
[mutsumi] Timestamp: 2025-10-29 17:14:15.576012, Code: BTN_EAST, State: 1
[ozu] Timestamp: 2025-10-29 17:14:16.095995, Code: BTN_EAST, State: 1
[ozu] Timestamp: 2025-10-29 17:14:16.252364, Code: BTN_EAST, State: 1
[ozu] Timestamp: 2025-10-29 17:14:16.476132, Code: BTN_SOUTH, State: 1
[ozu] Timestamp: 2025-10-29 17:14:17.244860, Code: BTN_NORTH, State: 1
[ozu] Timestamp: 2025-10-29 17:14:17.643969, Code: BTN_WEST, State: 1
[mutsumi] Timestamp: 2025-10-29 17:14:17.788327, Code: BTN_WEST, State: 1
[mutsumi] Timestamp: 2025-10-29 17:14:18.139979, Code: BTN_WEST, State: 1
[mutsumi] Timestamp: 2025-10-29 17:14:18.348780, Code: BTN_WEST, State: 1
[mutsumi] Timestamp: 2025-10-29 17:14:18.616011, Code: BTN_SOUTH, State: 1
[ozu] Timestamp: 2025-10-29 17:14:19.380757, Code: BTN_EAST, State: 1
[ozu] Timestamp: 2025-10-29 17:14:19.800832, Code: BTN_EAST, State: 1
[mutsumi] Timestamp: 2025-10-29 17:14:20.044101, Code: BTN_WEST, State: 1
[mutsumi] Timestamp: 2025-10-29 17:14:21.360292, Code: BTN_WEST, State: 1
[ozu] Timestamp: 2025-10-29 17:14:22.096133, Code: BTN_EAST, State: 1
[ozu] Timestamp: 2025-10-29 17:14:22.335885, Code: BTN_SOUTH, State: 1
[mutsumi] Timestamp: 2025-10-29 17:14:22.480256, Code: BTN_SOUTH, State: 1
[ozu] Timestamp: 2025-10-29 17:14:22.580152, Code: BTN_EAST, State: 1
[mutsumi] Timestamp: 2025-10-29 17:14:22.731995, Code: BTN_SOUTH, State: 1
[ozu] Timestamp: 2025-10-29 17:14:22.779946, Code: BTN_EAST, State: 1
[ozu] Timestamp: 2025-10-29 17:14:22.936291, Code: BTN_EAST, State: 1
[ozu] Timestamp: 2025-10-29 17:14:23.148579, Code: BTN_EAST, State: 1
[ozu] Timestamp: 2025-10-29 17:14:23.347880, Code: BTN_EAST, State: 1
[ozu] Timestamp: 2025-10-29 17:14:23.556679, Code: BTN_EAST, State: 1
[ozu] Timestamp: 2025-10-29 17:14:24.700638, Code: BTN_WEST, State: 1
[ozu] Timestamp: 2025-10-29 17:14:24.792582, Code: BTN_SOUTH, State: 1
[mutsumi] Timestamp: 2025-10-29 17:14:24.844522, Code: BTN_WEST, State: 1
[ozu] Timestamp: 2025-10-29 17:14:24.888004, Code: BTN_WEST, State: 1
[mutsumi] Timestamp: 2025-10-29 17:14:25.012418, Code: BTN_WEST, State: 1
[mutsumi] Timestamp: 2025-10-29 17:14:25.348100, Code: BTN_WEST, State: 1
[ozu] Timestamp: 2025-10-29 17:14:26.024491, Code: BTN_EAST, State: 1
[ozu] Timestamp: 2025-10-29 17:14:26.424244, Code: BTN_EAST, State: 1
[ozu] Timestamp: 2025-10-29 17:14:26.648013, Code: BTN_EAST, State: 1
[ozu] Timestamp: 2025-10-29 17:14:26.800854, Code: BTN_EAST, State: 1
[ozu] Timestamp: 2025-10-29 17:14:26.952711, Code: BTN_EAST, State: 1
[ozu] Timestamp: 2025-10-29 17:14:27.116050, Code: BTN_EAST, State: 1
[mutsumi] Timestamp: 2025-10-29 17:14:27.211950, Code: BTN_WEST, State: 1
[ozu] Timestamp: 2025-10-29 17:14:27.271888, Code: BTN_EAST, State: 1
[ozu] Timestamp: 2025-10-29 17:14:27.428234, Code: BTN_EAST, State: 1
[ozu] Timestamp: 2025-10-29 17:14:27.592082, Code: BTN_EAST, State: 1
[ozu] Timestamp: 2025-10-29 17:14:27.755913, Code: BTN_EAST, State: 1
[ozu] Timestamp: 2025-10-29 17:14:27.920741, Code: BTN_EAST, State: 1
[ozu] Timestamp: 2025-10-29 17:14:28.100570, Code: BTN_EAST, State: 1
[ozu] Timestamp: 2025-10-29 17:14:28.820416, Code: BTN_EAST, State: 1
[mutsumi] Timestamp: 2025-10-29 17:14:29.156096, Code: BTN_WEST, State: 1
[mutsumi] Timestamp: 2025-10-29 17:14:29.240010, Code: BTN_THUMBL, State: 1
[ozu] Timestamp: 2025-10-29 17:14:30.271986, Code: BTN_EAST, State: 1
[mutsumi] Timestamp: 2025-10-29 17:14:30.303953, Code: BTN_WEST, State: 1
[ozu] Timestamp: 2025-10-29 17:14:30.471779, Code: BTN_EAST, State: 1
[mutsumi] Timestamp: 2025-10-29 17:14:30.499750, Code: BTN_WEST, State: 1
[mutsumi] Timestamp: 2025-10-29 17:14:30.668590, Code: BTN_WEST, State: 1
